-0.79,-0.44,0.97,-1,30.8,1.707,0
-0.8,-0.25,1.08,-1,31,1.707,0
-0.64,-0.43,1.34,-1,31,1.716,0
-0.54,-0.81,0.96,-1,31,1.72,0
-0.95,-0.94,0.8,-1,31,1.716,0
-0.88,-0.63,0.78,-1,31,1.72,0
-0.6,-0.51,0.8,-1,30.8,1.72,0
-0.45,-0.51,0.8,-1,30.8,1.72,0
-0.54,-0.68,0.91,-1,31,1.72,0
-0.71,-0.7,0.94,-1,31,1.72,0
-0.84,-0.87,0.84,-1,31,1.72,0
-0.9,-0.57,0.82,-1,31,1.72,0
-0.89,-0.42,0.77,-1,31,1.72,0
-0.84,-0.36,0.81,-1,31,1.72,0
-0.8,-0.32,0.9,-1,30.8,1.72,0
-0.7,-0.24,0.86,-1,31,1.72,0
-0.61,-0.26,0.89,-1,31,1.72,0
-0.47,-0.16,1.02,-1,31,1.72,0
-0.28,-0.17,1.05,-1,31,1.72,0
-0.03,-0.13,1.16,-1,31,1.72,0
0.04,-0.35,1.32,-1,31,1.72,0
0.27,-0.32,1.09,-1,31,1.72,0
0.19,-0.29,1.32,-1,31,1.72,0
0.09,-0.84,1.38,-1,31,1.72,0
0.01,-0.64,1.18,-1,30.8,1.723,0
-0.09,-0.44,1.17,-1,30.8,1.733,0
-0.13,-0.36,1.12,-1,30.8,1.733,0
-0.15,-0.23,1.18,-1,31,1.733,0
-0.12,-0.23,1.23,-1,31,1.733,0
-0.08,-0.19,1.2,-1,31,1.733,0
-0.14,-0.17,1.21,-1,31,1.733,0
-0.15,-0.09,1.17,-1,31,1.723,0
-0.16,-0.1,1.16,-1,31,1.72,0
-0.16,-0.12,1.17,-1,31,1.72,0
-0.14,-0.11,1.22,-1,31,1.72,0
-0.13,-0.11,1.19,-1,30.8,1.72,0
-0.11,-0.08,1.18,-1,31,1.72,0
-0.08,-0.03,1.19,-1,31,1.72,0
-0.05,-0.02,1.21,-1,31,1.72,0
-0.05,-0.03,1.21,-1,31,1.733,0
-0.12,-0.06,1.1,-1,31,1.733,0
-0.3,-0.1,0.87,-1,31,1.733,0
-0.35,0.08,0.69,-1,31,1.729,0
-0.32,0.18,0.59,-1,31,1.72,0
-0.35,0.16,0.55,-1,31,1.716,0
-0.45,0.17,0.58,-1,31,1.707,0
-0.85,-0.04,0.54,-1,31,1.716,0
-1.14,-1.25,0.77,-1,31,1.707,0
-0.42,-1.41,0.69,-1,31,1.723,0
-0.64,-1.05,0.79,-1,30.8,1.746,0
-0.63,-0.5,0.65,-1,31,1.756,0
-1.5,0.1,-0.71,-1,31,1.773,0
-1.48,-1.12,0.23,-1,31,1.776,0
-1.4,-0.57,0.25,-1,31,1.786,0
-1.47,-0.49,-0.04,-1,31,1.8,0
-1.42,-1,0.73,-1,31,1.817,0
-1.12,-0.73,0.62,-1,30.8,1.827,0
-1.33,-0.89,0.73,-1,31,1.841,0
-1.29,-0.35,0.28,-1,31,1.851,0
-1.01,-0.3,0.27,-1,31,1.858,0
-0.89,-0.33,0.32,-1,31,1.869,0
-1.2,0.2,-0.52,-1,31,1.869,0
-1.08,-0.02,-0.47,-1,30.8,1.883,0
-1.36,-0.48,-0.27,-1,31,1.883,0
-1.4,-0.34,0.18,-1,30.8,1.883,0
-1.22,0,0.31,-1,31,1.897,0
-0.94,0.07,-0.03,-1,31,1.897,0
-0.79,-0.05,-0.03,-1,31,1.911,0
-0.71,-0.25,0.06,-1,31,1.911,0
-0.72,-0.31,0.16,-1,31,1.915,0
-0.8,-0.3,0.14,-1,31,1.915,0
-0.94,-0.3,0.12,-1,31,1.926,0
-1.05,-0.34,0.1,-1,31,1.937,0
-1.13,-0.44,0.12,-1,30.8,1.94,0
-1.15,-0.54,0.08,-1,31,1.951,0
-1.2,-0.55,0,-1,31,1.955,0
-1.14,-0.41,-0.14,-1,31,1.955,0
-1.07,-0.37,-0.12,-1,31,1.955,0
-1.15,-0.35,-0.07,-1,31,1.97,0
-1.08,-0.3,-0.03,-1,31,1.97,0
-0.95,-0.37,0.01,-1,31,1.97,0
-0.76,-0.4,0.02,-1,30.8,1.973,0
-0.59,-0.4,-0.04,-1,30.8,1.973,0
-0.53,-0.52,-0.33,-1,31,1.973,0
-0.44,-0.43,-0.56,-1,31,1.973,0
-0.18,-0.59,0,-1,31,1.97,0
0.09,-1.48,0.72,-1,31,1.97,0
0.11,-1.76,1.2,-1,31,1.97,0
0.26,-1.45,1.28,-1,31,1.97,0
0.34,-0.87,1.23,-1,31,1.955,0
0.6,-0.7,1.14,-1,31,1.955,0
0.72,-0.67,1.2,-1,31,1.951,0
0.87,-0.47,1.04,-1,30.8,1.94,0
1,-0.45,0.83,-1,31,1.951,0
0.95,-0.41,0.52,-1,31,1.937,0
0.7,-0.35,0.48,-1,31,1.937,0
0.43,-0.46,0.39,-1,31,1.937,0
0.21,-0.09,0.26,-1,31,1.937,0
0.18,0.15,0.24,-1,31,1.926,0
0.28,0.72,-0.03,-1,31,1.926,0
0.24,0.85,0.03,-1,31,1.926,0
0.29,0.65,0.37,-1,31,1.926,0
0.37,0.58,0.73,-1,31,1.926,0
0.47,0.15,1.05,-1,31,1.926,0
0.57,0,1.09,-1,31,1.926,0
0.49,-0.05,1,-1,31,1.915,0
0.43,-0.2,1.04,-1,31,1.911,0
0.44,-0.26,1.14,-1,31,1.911,0
0.51,-0.37,1.26,-1,31,1.908,0
0.5,-0.22,1.2,-1,31,1.897,0
0.39,0,1.17,-1,31,1.883,0
0.41,-0.19,1.24,-1,31,1.883,0
0.51,-0.39,1.35,-1,31,1.883,0
0.47,-0.21,1.3,-1,31,1.883,0
0.43,-0.08,1.15,-1,31,1.883,0
0.41,-0.13,1.13,-1,31,1.883,0
0.43,-0.27,1.16,-1,31,1.883,0
0.47,-0.34,1.17,-1,30.8,1.869,0
0.5,-0.31,1.12,-1,31,1.869,0
0.49,-0.33,1.1,-1,31,1.855,0
0.5,-0.24,1.07,-1,31,1.851,0
0.5,-0.32,1.15,-1,31,1.841,0
0.5,-0.37,1.24,-1,31,1.827,0
0.5,-0.23,1.2,-1,31,1.827,0
0.5,-0.24,1.18,-1,31,1.823,0
0.52,-0.25,1.14,-1,31,1.813,0
0.54,-0.29,1.13,-1,31,1.813,0
0.6,-0.45,1.22,-1,31,1.81,0
0.56,-0.31,1.21,-1,31,1.81,0
0.58,-0.54,1.18,-1,31,1.8,0
0.58,-0.56,1.13,-1,30.8,1.8,0
0.54,-0.37,0.93,-1,31,1.813,0
0.53,-0.53,0.82,-1,31,1.83,0
0.63,-0.48,0.79,-1,31,1.83,0
0.58,-0.35,0.66,-1,31,1.841,0
0.62,-0.21,0.53,-1,31,1.851,0
0.65,-0.01,0.43,-1,31,1.844,0
0.72,0.16,0.31,-1,31,1.855,0
0.82,0.33,0.24,-1,31,1.855,0
0.87,0.41,0.21,-1,31,1.855,0
0.9,0.29,0.21,-1,31,1.855,0
0.81,0.52,0.03,-1,31,1.855,0
0.74,0.79,-0.03,-1,31,1.851,0
0.68,0.48,0.17,-1,30.8,1.851,0
0.63,0.18,0.26,-1,31,1.841,0
0.5,-0.3,0.5,-1,31,1.823,0
0.55,-0.59,0.5,-1,31,1.8,0
0.3,-0.04,0.45,-1,31,1.786,0
0.23,-0.42,0.65,-1,31,1.773,0
0.34,-0.44,0.91,-1,31,1.756,0
0.81,-0.18,1.2,-1,31,1.746,0
1.21,-0.05,1.35,-1,31,1.746,0
1.28,0.04,1.19,-1,31,1.746,0
1.22,0,1.17,-1,31,1.746,0
1.16,0.2,1.03,-1,31,1.756,0
1.09,0.21,0.96,-1,31,1.759,0
1.04,0.37,0.86,-1,31,1.773,0
0.92,0.5,0.77,-1,31,1.776,0
0.85,0.62,0.61,-1,31,1.786,0
0.83,0.64,0.49,-1,31,1.786,0
0.77,0.72,0.35,-1,31,1.786,0
0.76,0.92,0.16,-1,31,1.8,0
0.71,0.82,0.18,-1,31,1.8,0
0.67,0.81,0.19,-1,31,1.81,0
0.65,0.86,0.17,-1,31,1.813,0
0.64,0.8,0.23,-1,31,1.813,0
0.64,0.81,0.2,-1,31,1.813,0
0.67,0.8,0.19,-1,31,1.813,0
0.66,0.78,0.17,-1,31,1.813,0
0.65,0.77,0.16,-1,31,1.813,0
0.62,0.8,0.13,-1,31,1.813,0
0.6,0.88,0.08,-1,31,1.813,0
0.58,0.89,0.07,-1,31,1.8,0
0.58,0.86,0.06,-1,31,1.81,0
0.59,0.81,0.08,-1,31,1.8,0
0.58,0.77,0.1,-1,31,1.81,0
0.57,0.78,0.14,-1,31,1.8,0
0.6,0.79,0.17,-1,31,1.8,0
0.62,0.79,0.15,-1,31,1.8,0
0.65,0.79,0.13,-1,31,1.81,0
0.66,0.79,0.11,-1,31,1.81,0
0.66,0.79,0.09,-1,31,1.81,0
0.67,0.8,0.07,-1,31,1.813,0
0.66,0.78,0.06,-1,31,1.813,0
0.64,0.78,0.04,-1,31,1.813,0
0.63,0.76,0.01,-1,30.8,1.813,0
0.63,0.76,0.02,-1,31,1.813,0
0.63,0.79,0.04,-1,31,1.813,0
0.66,0.83,0.08,-1,31,1.813,0
0.66,0.8,0.1,-1,31,1.827,0
0.68,0.77,0.11,-1,31,1.827,0
0.68,0.74,0.11,-1,31,1.827,0
0.68,0.74,0.09,-1,31,1.83,0
0.67,0.75,0.06,-1,31,1.841,0
0.66,0.75,0.04,-1,31,1.841,0
0.65,0.76,0.04,-1,31,1.841,0
0.67,0.76,0.03,-1,31,1.851,0
0.68,0.74,0.05,-1,31,1.855,0
0.68,0.75,0.06,-1,31,1.855,0
0.68,0.76,0.07,-1,31,1.855,0
0.68,0.75,0.06,-1,31,1.869,0
0.68,0.78,0.06,-1,31,1.869,0
0.67,0.78,0.05,-1,31,1.869,0
0.66,0.76,0.04,-1,31,1.869,0
0.67,0.76,0.04,-1,31,1.872,0
0.66,0.73,0.05,-1,31,1.883,0
0.67,0.78,0.03,-1,31,1.883,0
0.66,0.82,0.07,-1,31,1.883,0
0.68,0.73,0.11,-1,31,1.893,0
0.7,0.73,0.11,-1,31,1.897,0
0.71,0.74,0.09,-1,31,1.897,0
0.71,0.76,0.05,-1,31,1.897,0
0.7,0.78,0.04,-1,30.8,1.897,0
0.66,0.79,0.05,-1,31,1.897,0
0.66,0.77,0.08,-1,31,1.911,0
0.66,0.75,0.09,-1,31,1.911,0
0.65,0.74,0.12,-1,31,1.911,0
0.65,0.74,0.13,-1,31,1.911,0
0.64,0.73,0.13,-1,31,1.911,0
0.63,0.63,0.16,-1,31,1.911,0
0.69,0.52,0.25,-1,31,1.911,0
0.74,0.86,0.44,-1,31,1.911,0
0.71,1.05,0.5,-1,31,1.911,0
0.66,1.07,0.42,-1,31,1.926,0
0.65,0.91,0.46,-1,31,1.926,0
0.72,0.84,0.38,-1,31,1.926,0
0.77,0.64,0.37,-1,31,1.926,0
0.81,0.37,0.34,-1,31,1.937,0
0.87,0.25,0.28,-1,31,1.926,0
0.88,0.15,0.32,-1,31,1.937,0
0.92,0.29,0.36,-1,31,1.937,0
0.96,0.31,0.36,-1,31,1.94,0
0.94,0.26,0.41,-1,31,1.951,0
0.94,0.26,0.41,-1,31,1.94,0
0.95,0.22,0.34,-1,31,1.955,0
1,0.15,0.17,-1,31,1.955,0
1,0.11,-0.02,-1,31,1.955,0
0.91,0.1,-0.1,-1,31,1.955,0
0.9,0.17,-0.15,-1,31,1.955,0
0.93,0.16,-0.15,-1,31,1.966,0
0.87,-0.01,-0.25,-1,31,1.97,0
0.82,0,-0.3,-1,31,1.97,0
0.81,0,-0.34,-1,31,1.97,0
0.83,0,-0.35,-1,31,1.97,0
0.86,-0.05,-0.36,-1,31,1.973,0
0.85,-0.09,-0.36,-1,31,1.985,0
0.84,-0.03,-0.39,-1,31,1.985,0
0.83,-0.01,-0.42,-1,31,1.985,0
0.81,-0.04,-0.42,-1,31,1.985,0
0.8,-0.04,-0.43,-1,31,1.985,0
0.81,-0.03,-0.4,-1,31,1.996,0
0.82,-0.06,-0.37,-1,31,1.996,0
0.85,-0.05,-0.37,-1,30.8,1.996,0
0.84,-0.04,-0.36,-1,31,1.996,0
0.82,-0.04,-0.36,-1,31,2.011,0
0.82,-0.03,-0.36,-1,31,2.015,0
0.81,-0.01,-0.36,-1,31,2.015,0
0.82,0,-0.35,-1,31,2.015,0
0.83,0,-0.34,-1,31,2.015,0
0.83,0,-0.34,-1,31,2.029,0
0.84,0,-0.33,-1,31,2.029,0
0.83,0,-0.34,-1,31,2.029,0
0.82,0,-0.32,-1,31,2.029,0
0.81,0,-0.32,-1,31,2.029,0
0.82,0,-0.29,-1,31,2.029,0
0.83,-0.01,-0.28,-1,31,2.041,0
0.82,-0.03,-0.29,-1,31,2.041,0
0.83,-0.03,-0.28,-1,31,2.045,0
0.85,-0.03,-0.3,-1,31,2.045,0
0.85,-0.04,-0.3,-1,31,2.057,0
0.83,-0.04,-0.31,-1,31,2.045,0
0.81,-0.05,-0.33,-1,31,2.061,0
0.8,-0.03,-0.32,-1,31,2.061,0
0.81,-0.01,-0.31,-1,31,2.061,0
0.84,0,-0.32,-1,31,2.061,0
0.85,0,-0.32,-1,31,2.061,0
0.84,0.02,-0.34,-1,31,2.064,0
0.82,0,-0.33,-1,31,2.076,0
0.81,0,-0.31,-1,31,2.076,0
0.83,0.01,-0.3,-1,31,2.076,0
0.83,0.02,-0.28,-1,31,2.076,0
0.85,0.05,-0.27,-1,31,2.076,0
0.87,0.07,-0.29,-1,31,2.088,0
0.89,0.04,-0.28,-1,31,2.088,0
0.88,0.02,-0.27,-1,31,2.088,0
0.86,0.01,-0.28,-1,31,2.092,0
0.84,0.02,-0.29,-1,31,2.104,0
0.82,0,-0.28,-1,31,2.104,0
0.83,0.01,-0.27,-1,31,2.108,0
0.84,0,-0.26,-1,31,2.108,0
0.85,0,-0.26,-1,31,2.108,0
0.86,0.01,-0.26,-1,31,2.108,0
0.86,0.02,-0.27,-1,31,2.124,0
0.86,0.02,-0.27,-1,31,2.124,0
0.86,0.01,-0.29,-1,31,2.124,0
0.85,0.01,-0.29,-1,30.8,2.124,0
0.85,0.01,-0.28,-1,31,2.124,0
0.86,0.02,-0.28,-1,31,2.124,0
0.87,0.02,-0.28,-1,31,2.136,0
0.86,0.01,-0.28,-1,31,2.14,0
0.86,0.01,-0.28,-1,31,2.14,0
0.87,0,-0.28,-1,31,2.14,0
0.89,0,-0.28,-1,31,2.14,0
0.88,0,-0.31,-1,31,2.14,0
0.85,0,-0.31,-1,31,2.14,0
0.85,0,-0.29,-1,31,2.14,0
0.85,0,-0.27,-1,31,2.14,0
0.85,0,-0.25,-1,31,2.14,0
0.84,-0.01,-0.23,-1,31,2.14,0
0.83,-0.02,-0.24,-1,31,2.14,0
0.85,0,-0.23,-1,31,2.14,0
0.87,0,-0.24,-1,31,2.127,0
0.88,0,-0.24,-1,31,2.14,0
0.86,0,-0.25,-1,30.8,2.127,0
0.85,0.11,-0.17,-1,31,2.124,0
0.94,0.17,-0.08,-1,31,2.124,0
0.94,0,-0.06,-1,31,2.124,0
0.78,-0.17,-0.27,-1,31,2.124,0
0.6,0,-0.42,-1,31,2.124,0
0.6,-0.06,-0.49,-1,31,2.12,0
0.66,-0.32,-0.47,-1,31,2.12,0
0.68,-0.29,-0.5,-1,31,2.108,0
0.69,-0.09,-0.55,-1,31,2.108,0
0.7,-0.06,-0.58,-1,31,2.108,0
0.68,-0.13,-0.57,-1,31,2.108,0
0.64,-0.12,-0.57,-1,31,2.104,0
0.61,-0.05,-0.59,-1,31,2.092,0
0.59,-0.04,-0.57,-1,31,2.092,0
0.6,-0.05,-0.51,-1,31,2.092,0
0.59,-0.13,-0.5,-1,31,2.088,0
0.54,-0.14,-0.5,-1,31,2.088,0
0.48,-0.11,-0.53,-1,31,2.088,0
0.45,-0.06,-0.54,-1,31,2.076,0
0.47,-0.07,-0.52,-1,31,2.076,0
0.47,-0.12,-0.51,-1,31,2.076,0
0.4,-0.13,-0.56,-1,31,2.076,0
0.35,-0.1,-0.6,-1,31,2.076,0
0.32,-0.1,-0.64,-1,31,2.072,0
0.29,-0.16,-0.65,-1,31,2.076,0
0.27,-0.15,-0.66,-1,31,2.072,0
0.22,-0.15,-0.68,-1,31,2.061,0
0.2,-0.11,-0.73,-1,31,2.061,0
0.18,-0.07,-0.76,-1,31,2.057,0
0.17,-0.05,-0.8,-1,31,2.057,0
0.15,-0.07,-0.81,-1,31,2.045,0
0.12,-0.1,-0.81,-1,31,2.045,0
0.09,-0.1,-0.82,-1,31,2.045,0
0.04,-0.1,-0.84,-1,31,2.045,0
0,-0.08,-0.84,-1,31,2.041,0
0,-0.1,-0.81,-1,31,2.041,0
0,-0.11,-0.8,-1,31,2.041,0
0,-0.36,-0.88,-1,31,2.041,0
0.02,-0.27,-0.89,-1,31,2.041,0
0.04,-0.06,-0.8,-1,31,2.045,0
0.04,-0.08,-0.76,-1,31,2.045,0
0,-0.09,-0.77,-1,31,2.045,0
0,-0.09,-0.78,-1,31,2.057,0
0,-0.06,-0.74,-1,31,2.061,0
0,-0.05,-0.76,-1,31,2.061,0
0.04,-0.09,-0.73,-1,31,2.072,0
0.03,-0.15,-0.72,-1,31,2.076,0
0,-0.14,-0.75,-1,31,2.076,0
0,-0.1,-0.75,-1,31,2.076,0
-0.01,-0.12,-0.75,-1,31,2.088,0
-0.01,-0.1,-0.71,-1,31,2.088,0
-0.01,-0.1,-0.69,-1,31,2.092,0
0,-0.14,-0.68,-1,31,2.104,0
0.02,-0.09,-0.73,-1,31,2.104,0
0.01,-0.11,-0.73,-1,31,2.108,0
0,-0.1,-0.71,-1,31,2.108,0
-0.04,-0.27,-0.83,-1,31,2.12,0
-0.02,-0.11,-0.89,-1,31,2.12,0
0.01,-0.19,-0.8,-1,31,2.124,0
0.01,-0.21,-0.68,-1,31,2.124,0
0.03,-0.16,-0.58,-1,31,2.124,0
0,-0.23,-0.58,-1,31,2.124,0
0.02,-0.28,-0.61,-1,31,2.124,0
0,-0.28,-0.66,-1,31,2.124,0
-0.03,-0.29,-0.73,-1,31,2.12,0
-0.06,-0.27,-0.77,-1,31,2.12,0
-0.05,-0.27,-0.78,-1,31,2.108,0
-0.04,-0.25,-0.76,-1,31,2.104,0
-0.04,-0.25,-0.74,-1,31,2.104,0
-0.03,-0.24,-0.74,-1,31,2.092,0
-0.04,-0.22,-0.73,-1,31,2.092,0
-0.06,-0.22,-0.77,-1,31,2.092,0
-0.1,-0.2,-0.83,-1,31,2.104,0
-0.14,-0.2,-0.82,-1,31,2.092,0
-0.16,-0.24,-0.82,-1,31,2.092,0
-0.19,-0.22,-0.85,-1,31,2.092,0
-0.27,-0.27,-0.82,-1,31,2.104,0
-0.31,-0.27,-0.76,-1,31,2.104,0
-0.26,-0.26,-0.75,-1,31.2,2.112,0
-0.21,-0.2,-0.76,-1,31.2,2.1,0
-0.13,-0.15,-0.73,-1,31.2,2.092,0
-0.02,-0.12,-0.73,-1,31.2,2.092,0
0.01,-0.14,-0.74,-1,31.2,2.096,0
0.01,-0.12,-0.79,-1,31.2,2.096,0
0,-0.11,-0.79,-1,31.2,2.096,0
0,-0.11,-0.81,-1,31.2,2.096,0
0,-0.13,-0.84,-1,31.4,2.096,0
-0.01,-0.12,-0.82,-1,31.2,2.096,0
0.04,-0.11,-0.77,-1,31.2,2.092,0
0.1,-0.1,-0.7,-1,31.2,2.084,0
0.1,-0.12,-0.67,-1,31.2,2.092,0
0.05,-0.1,-0.67,-1,31.2,2.092,0
0.05,-0.07,-0.63,-1,31.2,2.092,0
0.15,-0.05,-0.56,-1,31.2,2.08,0
0.24,-0.11,-0.51,-1,31.2,2.08,0
0.21,-0.19,-0.59,-1,31.2,2.08,0
0.08,-0.17,-0.71,-1,31.2,2.08,0
0.03,-0.18,-0.75,-1,31.2,2.08,0
0.08,-0.21,-0.72,-1,31.2,2.088,0
0.15,-0.21,-0.69,-1,31.2,2.076,0
0.23,-0.17,-0.66,-1,31.2,2.076,0
0.3,-0.15,-0.63,-1,31.2,2.064,0
0.28,-0.13,-0.64,-1,31.2,2.076,0
0.2,-0.12,-0.77,-1,31,2.06,0
0.31,-0.16,-0.81,-1,31,2.068,0
0.36,-0.2,-0.73,-1,31,2.076,0
0.35,-0.19,-0.69,-1,31,2.064,0
0.41,-0.13,-0.66,-1,31,2.076,0
0.46,-0.12,-0.69,-1,31,2.064,0
0.41,-0.1,-0.72,-1,31,2.061,0
0.36,-0.06,-0.75,-1,31,2.061,0
0.4,-0.06,-0.73,-1,31,2.061,0
0.43,-0.06,-0.65,-1,31,2.049,0
0.36,-0.06,-0.6,-1,31,2.049,0
0.23,-0.13,-0.63,-1,31,2.045,0
0.11,-0.21,-0.63,-1,31,2.045,0
0.1,-0.12,-0.65,-1,31,2.045,0
0.17,-0.24,-0.64,-1,31,2.041,0
0.14,-0.3,-0.66,-1,31,2.041,0
0.08,-0.18,-0.72,-1,31,2.029,0
0.06,-0.14,-0.79,-1,31,2.029,0
0,-0.23,-0.77,-1,31,2.029,0
0,-0.2,-0.72,-1,31,2.029,0
0,-0.18,-0.67,-1,31,2.029,0
-0.03,-0.1,-0.58,-1,31,2.017,0
-0.2,-0.58,-1,-1,31,2.017,0
-0.05,-0.14,-1.28,-1,31,2.017,0
-0.32,-0.31,-0.5,-1,31,2.017,0
-0.44,-0.67,-0.6,-1,31,2.029,0
-0.35,-0.26,-0.67,-1,31,2.029,0
-0.25,-0.32,-0.65,-1,31,2.029,0
-0.03,-0.27,-0.68,-1,31,2.029,0
0.01,0.02,-0.84,-1,31,2.029,0
-0.12,-0.12,-0.8,-1,31,2.029,0
-0.19,-0.32,-0.7,-1,31,2.015,0
-0.18,-0.29,-0.71,-1,31,2.011,0
-0.12,-0.19,-0.73,-1,31,2,0
-0.05,-0.17,-0.75,-1,31,1.996,0
-0.02,-0.19,-0.75,-1,31,1.996,0
0,-0.27,-0.73,-1,31,1.985,0
-0.09,-0.21,-0.73,-1,31,1.985,0
-0.11,-0.17,-0.74,-1,31,1.985,0
-0.1,-0.19,-0.74,-1,31,1.973,0
-0.08,-0.19,-0.73,-1,31,1.973,0
-0.06,-0.21,-0.74,-1,31,1.973,0
-0.07,-0.24,-0.73,-1,31,1.973,0
-0.09,-0.24,-0.73,-1,31,1.97,0
-0.08,-0.2,-0.74,-1,31,1.985,0
-0.06,-0.19,-0.76,-1,31,1.985,0
-0.02,-0.18,-0.77,-1,31,1.973,0
-0.01,-0.19,-0.8,-1,31,1.973,0
-0.06,-0.14,-1.06,-1,31,1.97,0
-0.45,0,-1.28,-1,31,1.97,0
-0.4,-0.24,-1.06,-1,31,1.97,0
0,-0.55,-0.89,-1,31,1.955,0
0.28,-0.6,-0.73,-1,31,1.955,0
0.35,-0.63,-0.56,-1,31,1.955,0
0.28,-0.63,-0.46,-1,31,1.955,0
0.2,-0.58,-0.38,-1,31,1.955,0
0.23,-0.58,-0.32,-1,31,1.955,0
0.32,-0.6,-0.22,-1,31,1.955,0
0.36,-0.63,-0.2,-1,31,1.97,0
0.4,-0.65,-0.15,-1,31,1.97,0
0.44,-0.76,-0.11,-1,31,1.973,0
0.45,-0.69,-0.1,-1,31,1.973,0
0.5,-0.73,-0.08,-1,31,1.985,0
0.55,-0.73,-0.02,-1,31,1.985,0
0.61,-0.73,-0.01,-1,31,1.996,0
0.64,-0.7,0.03,-1,31,1.985,0
0.62,-0.73,0.26,-1,31,2,0
0.66,-0.81,0.34,-1,31,2,0
0.66,-0.67,0.32,-1,31,2,0
0.64,-0.63,0.31,-1,31,2,0
0.66,-0.54,0.32,-1,31,2,0
0.72,-0.5,0.41,-1,31,2,0
0.83,-0.42,0.37,-1,31,2,0
0.8,-0.29,0.45,-1,31,1.996,0
0.69,-0.4,0.57,-1,31,1.996,0
0.66,-0.52,0.55,-1,31,1.996,0
0.65,-0.48,0.56,-1,31,1.996,0
0.67,-0.47,0.57,-1,31,1.985,0
0.75,-0.39,0.57,-1,31,1.996,0
0.87,-0.26,0.52,-1,31,1.985,0
0.86,-0.24,0.59,-1,31,1.985,0
0.86,-0.29,0.54,-1,31,1.985,0
0.79,-0.35,0.62,-1,31,1.985,0
0.77,-0.41,0.59,-1,31,1.985,0
0.89,-0.44,0.47,-1,31,1.985,0
0.95,-0.42,0.35,-1,31,1.985,0
0.61,-0.43,0.42,-1,31,1.985,0
0.43,-0.45,0.52,-1,31,1.985,0
0.67,-0.48,0.61,-1,31,1.985,0
0.99,-0.41,0.64,-1,31,1.985,0
1,-0.37,0.69,-1,31,1.973,0
0.89,-0.65,0.95,-1,31,1.985,0
0.92,-0.77,0.97,-1,31,1.985,0
0.9,-0.84,0.9,-1,31,1.985,0
0.73,-0.83,0.68,-1,31,1.985,0
0.54,-0.75,0.74,-1,31,1.973,0
0.46,-0.77,0.76,-1,31,1.985,0
0.38,-0.67,0.73,-1,31,1.985,0
0.28,-0.68,0.78,-1,31,1.973,0
0.17,-0.68,0.88,-1,31,1.973,0
0.09,-0.75,0.94,-1,31,1.985,0
0.11,-0.74,0.98,-1,31,1.973,0
0.18,-0.63,0.97,-1,31,1.973,0
0.15,-0.59,0.86,-1,31,1.973,0
0.15,-0.62,0.76,-1,31,1.973,0
0.2,-0.63,0.75,-1,31,1.973,0
0.29,-0.68,0.7,-1,31,1.973,0
0.35,-0.68,0.56,-1,31,1.973,0
0.35,-0.84,0.41,-1,31,1.973,0
0.33,-0.9,0.35,-1,31,1.973,0
0.27,-0.97,0.38,-1,31,1.973,0
0.24,-1,0.43,-1,31,1.97,0
0.2,-1.12,0.5,-1,31,1.97,0
0.15,-1.04,0.49,-1,31,1.97,0
0.16,-0.92,0.38,-1,31,1.97,0
0.13,-0.79,0.35,-1,31,1.97,0
0.06,-0.71,0.52,-1,31,1.973,0
0.02,-0.74,0.65,-1,31,1.973,0
-0.01,-0.74,0.67,-1,31,1.973,0
-0.18,-0.93,0.78,-1,31,1.973,0
-0.27,-1.03,0.89,-1,31,1.973,0
-0.33,-1.06,1,-1,31,1.985,0
-0.36,-1.09,0.97,-1,31,1.985,0
-0.35,-0.85,0.79,-1,31,1.985,0
-0.28,-0.89,0.72,-1,31,1.985,0
-0.23,-1,0.64,-1,31,1.985,0
-0.41,-0.97,0.62,-1,31,1.985,0
-0.48,-0.74,0.39,-1,31,1.996,0
-0.5,-0.63,0.48,-1,31,1.996,0
-0.49,-0.71,0.68,-1,31,2,0
-0.48,-0.69,0.72,-1,31,2,0
-0.48,-0.62,0.7,-1,31,2,0
-0.53,-0.6,0.76,-1,31,2.011,0
-0.61,-0.61,0.83,-1,31,2.015,0
-0.66,-0.63,0.84,-1,31,2.015,0
-0.65,-0.65,0.87,-1,31,2.015,0
-0.63,-0.57,0.92,-1,31,2.029,0
-0.67,-0.45,0.62,-1,31,2.029,0
-0.76,-0.62,0.44,-1,31,2.029,0
-0.8,-0.81,0.42,-1,31,2.029,0
-0.74,-1.07,0.5,-1,31,2.029,0
-0.64,-0.63,0.75,-1,31,2.041,0
-0.7,-0.5,0.74,-1,31,2.041,0
-0.78,-0.45,0.73,-1,31,2.029,0
-0.79,-0.42,0.72,-1,31,2.041,0
-0.77,-0.43,0.72,-1,31,2.029,0
-0.77,-0.39,0.66,-1,31,2.029,0
-0.79,-0.38,0.71,-1,31,2.041,0
-0.79,-0.36,0.74,-1,31,2.029,0
-0.81,-0.35,0.76,-1,31,2.041,0
-0.8,-0.34,0.8,-1,31,2.045,0
-0.81,-0.3,0.77,-1,31,2.045,0
-0.82,-0.25,0.79,-1,31,2.057,0
-0.79,-0.25,0.76,-1,31,2.045,0
-0.84,-0.18,0.78,-1,31,2.057,0
-0.84,-0.13,0.8,-1,31,2.057,0
-0.82,-0.15,0.8,-1,31,2.061,0
